"","id","duration","start_date","start_station_name","start_station_id","end_date","end_station_name","end_station_id","bike_id","subscription_type","zip_code"
"1",139945,73,2014-01-01 17:57:00,"5th at Howard",57,2014-01-01 17:59:00,"5th at Howard",57,509,"Subscriber",94103
"2",139967,160,2014-01-01 19:11:00,"California Ave Caltrain Station",36,2014-01-01 19:13:00,"California Ave Caltrain Station",36,51,"Customer",6877
"3",140179,63,2014-01-02 08:32:00,"2nd at Folsom",62,2014-01-02 08:33:00,"2nd at Folsom",62,632,"Subscriber",94107
"4",140429,126,2014-01-02 11:49:00,"San Francisco Caltrain (Townsend at 4th)",70,2014-01-02 11:51:00,"San Francisco Caltrain (Townsend at 4th)",70,321,"Customer",61801
"5",140484,114,2014-01-02 12:49:00,"Harry Bridges Plaza (Ferry Building)",50,2014-01-02 12:51:00,"Harry Bridges Plaza (Ferry Building)",50,407,"Subscriber",94131
"6",140715,69,2014-01-02 16:25:00,"Mountain View City Hall",27,2014-01-02 16:26:00,"Mountain View City Hall",27,98,"Subscriber",94102
"7",140734,64,2014-01-02 16:32:00,"South Van Ness at Market",66,2014-01-02 16:33:00,"South Van Ness at Market",66,525,"Subscriber",94612
"8",141227,123,2014-01-03 08:02:00,"South Van Ness at Market",66,2014-01-03 08:04:00,"South Van Ness at Market",66,368,"Customer",94114
"9",141388,66,2014-01-03 09:15:00,"Powell Street BART",39,2014-01-03 09:16:00,"Powell Street BART",39,424,"Subscriber",94116
"10",142332,64,2014-01-04 10:02:00,"Mechanics Plaza (Market at Battery)",75,2014-01-04 10:03:00,"Mechanics Plaza (Market at Battery)",75,573,"Subscriber",94105
"11",143075,135,2014-01-05 16:23:00,"Mountain View Caltrain Station",28,2014-01-05 16:26:00,"Mountain View Caltrain Station",28,161,"Subscriber",94040
"12",143707,64,2014-01-06 11:18:00,"Embarcadero at Folsom",51,2014-01-06 11:19:00,"Embarcadero at Folsom",51,430,"Subscriber",94109
"13",144838,108,2014-01-07 08:47:00,"San Francisco Caltrain (Townsend at 4th)",70,2014-01-07 08:49:00,"San Francisco Caltrain (Townsend at 4th)",70,481,"Subscriber",95014
"14",145292,152,2014-01-07 15:32:00,"Mountain View City Hall",27,2014-01-07 15:35:00,"Mountain View City Hall",27,136,"Subscriber",94105
"15",146812,148,2014-01-08 17:24:00,"Embarcadero at Sansome",60,2014-01-08 17:26:00,"Embarcadero at Sansome",60,427,"Customer",NA
"16",147756,121,2014-01-09 12:05:00,"Embarcadero at Sansome",60,2014-01-09 12:07:00,"Embarcadero at Sansome",60,391,"Customer",46074
"17",147842,90,2014-01-09 13:09:00,"Mechanics Plaza (Market at Battery)",75,2014-01-09 13:10:00,"Mechanics Plaza (Market at Battery)",75,515,"Subscriber",94117
"18",148495,71,2014-01-09 19:26:00,"Howard at 2nd",63,2014-01-09 19:27:00,"Howard at 2nd",63,545,"Subscriber",94111
"19",148593,86,2014-01-09 22:08:00,"Townsend at 7th",65,2014-01-09 22:09:00,"Townsend at 7th",65,314,"Subscriber",94103
"20",148609,68,2014-01-09 23:20:00,"Howard at 2nd",63,2014-01-09 23:21:00,"Howard at 2nd",63,396,"Subscriber",94158
"21",150138,105,2014-01-11 13:57:00,"Embarcadero at Sansome",60,2014-01-11 13:59:00,"Embarcadero at Sansome",60,426,"Customer",NA
"22",150244,75,2014-01-11 18:53:00,"2nd at Townsend",61,2014-01-11 18:54:00,"2nd at Townsend",61,627,"Subscriber",94044
"23",151208,178,2014-01-13 09:16:00,"San Francisco Caltrain 2 (330 Townsend)",69,2014-01-13 09:19:00,"San Francisco Caltrain 2 (330 Townsend)",69,427,"Subscriber",94107
"24",151489,73,2014-01-13 12:43:00,"2nd at South Park",64,2014-01-13 12:44:00,"2nd at South Park",64,335,"Subscriber",94158
"25",151958,107,2014-01-13 18:10:00,"2nd at Folsom",62,2014-01-13 18:12:00,"2nd at Folsom",62,372,"Subscriber",94102
"26",153060,110,2014-01-14 16:12:00,"San Jose Diridon Caltrain Station",2,2014-01-14 16:14:00,"San Jose Diridon Caltrain Station",2,108,"Customer",38478
"27",153181,111,2014-01-14 17:05:00,"Market at 10th",67,2014-01-14 17:06:00,"Market at 10th",67,569,"Subscriber",94109
"28",153206,128,2014-01-14 17:13:00,"Embarcadero at Vallejo",48,2014-01-14 17:15:00,"Embarcadero at Vallejo",48,361,"Subscriber",94107
"29",153280,62,2014-01-14 17:39:00,"Yerba Buena Center of the Arts (3rd @ Howard)",68,2014-01-14 17:40:00,"Yerba Buena Center of the Arts (3rd @ Howard)",68,505,"Subscriber",94044
"30",154409,166,2014-01-15 14:28:00,"Harry Bridges Plaza (Ferry Building)",50,2014-01-15 14:31:00,"Harry Bridges Plaza (Ferry Building)",50,353,"Subscriber",94556
"31",154445,172,2014-01-15 15:13:00,"Grant Avenue at Columbus Avenue",73,2014-01-15 15:16:00,"Grant Avenue at Columbus Avenue",73,573,"Customer",95762
"32",155376,82,2014-01-16 08:51:00,"Mountain View City Hall",27,2014-01-16 08:52:00,"Mountain View City Hall",27,662,"Subscriber",94102
"33",155643,116,2014-01-16 11:24:00,"San Jose Diridon Caltrain Station",2,2014-01-16 11:26:00,"San Jose Diridon Caltrain Station",2,175,"Customer",NA
"34",155761,124,2014-01-16 12:53:00,"Powell Street BART",39,2014-01-16 12:55:00,"Powell Street BART",39,400,"Subscriber",94117
"35",156239,85,2014-01-16 18:00:00,"Embarcadero at Folsom",51,2014-01-16 18:02:00,"Embarcadero at Folsom",51,375,"Subscriber",95014
"36",156344,127,2014-01-16 18:38:00,"Market at 4th",76,2014-01-16 18:40:00,"Market at 4th",76,517,"Subscriber",94107
"37",157057,74,2014-01-17 11:37:00,"South Van Ness at Market",66,2014-01-17 11:38:00,"South Van Ness at Market",66,427,"Customer",94105
